year,voc,model_type,x_metric,y_metric,slope,intercept,r2,n,x1,y1,x2,y2
1980,CME,unweighted,gdp_pc_ppp,post_tax_gini,-1.7880104927326852e-6,0.36265959892829847,0.10355685776391556,10,26905.4385,0.3145523925787245,62149.8654,0.2515349874711744
1980,LME,unweighted,gdp_pc_ppp,post_tax_gini,6.678920657864967e-7,0.33856094231660816,0.005201803162206643,6,24281.8703,0.35477861083243495,39978.2614,0.3652621059096067
1980,CME,unweighted,gdp_pc_ppp,pre_tax_gini,-9.02943451872049e-7,0.43384387119516366,0.08077745975252891,10,26905.4385,0.40954978168184253,62149.8654,0.3777260571975044
1980,LME,unweighted,gdp_pc_ppp,pre_tax_gini,-1.0688863754071447e-7,0.4414591118651305,2.8742005130520567e-4,6,24281.8703,0.43886365583182313,39978.2614,0.43718588997283797
1980,CME,unweighted,gdp_pc_unadjusted,post_tax_gini,-9.925248486194515e-7,0.3231986706814078,0.06381266952008481,10,15633.4485,0.3076820845755453,67629.501,0.25607471043917374
1980,LME,unweighted,gdp_pc_unadjusted,post_tax_gini,8.965070563343324e-7,0.3332302578501372,0.008274112020402664,6,24281.8703,0.35499912591508226,39525.5,0.36866514750527984
1980,CME,unweighted,gdp_pc_unadjusted,pre_tax_gini,-5.818375417575726e-7,0.41670758914153183,0.06707458024155026,10,15633.4485,0.40761146189709824,67629.501,0.37735820652940055
1980,LME,unweighted,gdp_pc_unadjusted,pre_tax_gini,1.4843844485132393e-7,0.4333351618085299,4.893497801080365e-4,6,24281.8703,0.43693952487394344,39525.5,0.4392022655605009
1980,CME,weighted,gdp_pc_ppp,post_tax_gini,-5.751946892705935e-6,0.5374778736714868,0.6459527528788119,10,26905.4385,0.38271922029452116,62149.8654,0.17999514850186465
1980,LME,weighted,gdp_pc_ppp,post_tax_gini,4.89572423721342e-6,0.1752113504348252,0.5102512506991135,6,24281.8703,0.2940886913874079,39978.2614,0.37093389373245894
1980,CME,weighted,gdp_pc_ppp,pre_tax_gini,-3.167492400327378e-6,0.5313549146273039,0.6122626462058753,10,26905.4385,0.44613214265107826,62149.8654,0.3344956882914344
1980,LME,weighted,gdp_pc_ppp,pre_tax_gini,3.723669340383404e-6,0.30241162801998267,0.5048962922841491,6,24281.8703,0.392829283983259,39978.2614,0.45127745427699595
1980,CME,weighted,gdp_pc_unadjusted,post_tax_gini,-4.111702105609966e-6,0.44298506148706407,0.5859430417398258,10,15633.4485,0.3787049783716691,67629.501,0.1649126998240128
1980,LME,weighted,gdp_pc_unadjusted,post_tax_gini,4.115514196854223e-6,0.20962728491758684,0.6575480185615261,6,24281.8703,0.30955966686340974,39525.5,0.3722950413053484
1980,CME,weighted,gdp_pc_unadjusted,pre_tax_gini,-2.2916440294587613e-6,0.47999971789189605,0.5689079660342113,10,15633.4485,0.44417341897702,67629.501,0.3250169757099707
1980,LME,weighted,gdp_pc_unadjusted,pre_tax_gini,3.2550468451661635e-6,0.32405306288500746,0.7035638737395966,6,24281.8703,0.40309168819975644,39525.5,0.4527104169636227
1981,CME,unweighted,gdp_pc_ppp,post_tax_gini,-1.5242328212621803e-6,0.3477436900644251,0.07430408483824423,10,27888.3035,0.3052354225404042,62802.969,0.2520173434419139
1981,LME,unweighted,gdp_pc_ppp,post_tax_gini,1.4373232943410108e-6,0.3106482884038486,0.021873428670569555,6,24846.144,0.34636022994959975,40849.0533,0.3693615842637161
1981,CME,unweighted,gdp_pc_ppp,pre_tax_gini,-7.317557119405327e-7,0.42420330962381275,0.055354190207555096,10,27888.3035,0.4037958842413566,62802.969,0.37824687833123855
1981,LME,unweighted,gdp_pc_ppp,pre_tax_gini,2.1429319334858845e-7,0.42947478977021525,0.0010927223227943479,6,24846.144,0.4347991493103741,40849.0533,0.4382284638471389
1981,CME,unweighted,gdp_pc_unadjusted,post_tax_gini,-8.265137657077988e-7,0.31328539625043106,0.04412672668853686,10,16204.5438,0.29989211773271607,68340.1875,0.256801290530629
1981,LME,unweighted,gdp_pc_unadjusted,post_tax_gini,2.0785230683107035e-6,0.29430523425588956,0.040316362461862015,6,24846.144,0.34594851771845914,40119.6,0.37769474834728767
1981,CME,unweighted,gdp_pc_unadjusted,pre_tax_gini,-4.7399516970617437e-7,0.41034365069466217,0.046909148565425336,10,16204.5438,0.40266277520617005,68340.1875,0.3779507319228479
