year,country,label,voc,gdp_pc_ppp,gdp_pc_unadjusted,pre_tax_gini,post_tax_gini,population
1985,FI,Finland,CME,37898.6736,31457.7664,0.3866,0.2833,4902261
1985,JP,Japan,CME,32302.2077,18769.25,0.4621,0.4012,120832163
1985,NL,Netherlands,CME,42183.9762,35236.0219,0.3862,0.2875,14538959
1985,NO,Norway,CME,59340.4569,50297.3659,0.3644,0.2386,4152400
1985,SE,Sweden,CME,41069.2859,33068.5864,0.371,0.2216,8350244
1985,AU,Australia,LME,38687.289,36413.5552,0.4263,0.3654,15835747
1985,CA,Canada,LME,43129.964,36232.2397,0.4172,0.3269,25927465
1985,GB,United Kingdom,LME,33742.0951,29500.0319,0.4236,0.3082,56606414
1985,NZ,New Zealand,LME,33251.5938,29940.533,0.5086,0.465,3268028
1985,US,United States,LME,44219.1,44219.1,0.4908,0.428,241690443
1986,AT,Austria,CME,44050.7789,34469.6574,0.4176,0.3277,7569395
1986,BE,Belgium,CME,41801.9645,32408.8786,0.438,0.2959,9886984
1986,CH,Switzerland,CME,66272.0014,72115.0779,0.4127,0.3167,6504750
1986,DE,Germany,CME,42572.5518,32758.5143,0.4049,0.307,77923807
1986,DK,Denmark,CME,51195.1901,43004.1555,0.3775,0.2101,5120688
1986,FI,Finland,CME,38808.2407,32212.752,0.3846,0.2751,4918255
1986,JP,Japan,CME,33229.7509,19308.2004,0.4692,0.4041,121366735
1986,NL,Netherlands,CME,43100.1698,36001.313,0.3849,0.279,14626494
1986,NO,Norway,CME,61518.99,52143.905,0.3349,0.2115,4167252
1986,SE,Sweden,CME,42076.6191,33879.6812,0.3706,0.2136,8369683
1986,AU,Australia,LME,39356.0619,37043.0228,0.434,0.3705,16069633
1986,CA,Canada,LME,43578.4166,36608.9718,0.4279,0.3377,26211031
1986,GB,United Kingdom,LME,34715.9145,30351.4225,0.4251,0.3113,56751923
1986,NZ,New Zealand,LME,32355.3953,29133.5743,0.4981,0.4524,3281508
1986,US,United States,LME,45325.8,45325.8,0.4923,0.4287,243953807
1987,AT,Austria,CME,44616.6775,34912.472,0.4131,0.3233,7574315
1987,BE,Belgium,CME,42710.8293,33113.5174,0.4383,0.3016,9899147
1987,CH,Switzerland,CME,66896.4252,72794.556,0.4122,0.3162,6545773
1987,DE,Germany,CME,43092.7824,33158.8187,0.4116,0.3079,78062324
1987,DK,Denmark,CME,51260.941,43059.3865,0.3794,0.2055,5127132
1987,FI,Finland,CME,40073.5905,33263.0546,0.389,0.2834,4932257
1987,JP,Japan,CME,34637.1734,20125.9856,0.4844,0.4113,121943587
1987,NL,Netherlands,CME,43638.7822,36451.2126,0.3843,0.2732,14724947
1987,NO,Norway,CME,62305.1975,52810.2997,0.3333,0.2209,4186824
1987,SE,Sweden,CME,43342.9607,34899.3271,0.3706,0.2112,8397648
1987,AU,Australia,LME,40387.6539,38013.986,0.4483,0.3749,16322269
1987,CA,Canada,LME,44789.7261,37626.558,0.4295,0.3383,26540921
1987,GB,United Kingdom,LME,36501.8045,31912.7901,0.4292,0.3172,56886024
1987,NZ,New Zealand,LME,32349.9769,29128.6955,0.4936,0.4394,3299443
1987,US,United States,LME,46473.2,46473.2,0.5003,0.43120000000000003,246161291
1988,AT,Austria,CME,46021.0662,36011.4038,0.4099,0.3211,7585342
1988,BE,Belgium,CME,44650.4054,34617.2623,0.4502,0.3187,9916565
1988,CH,Switzerland,CME,68583.5329,74630.4128,0.4087,0.3093,6594143
1988,DE,Germany,CME,44505.8732,34246.1568,0.4253,0.3195,78385992
1988,DK,Denmark,CME,51228.7939,43032.3828,0.3765,0.1901,5129640
1988,FI,Finland,CME,42048.0483,34901.9518,0.3929,0.2792,4946628
1988,JP,Japan,CME,36826.2264,21397.9383,0.4907,0.4138,122476952
1988,NL,Netherlands,CME,44833.0854,37448.8069,0.3829,0.271,14825923
1988,NO,Norway,CME,61811.8136,52392.1043,0.3239,0.2082,4209470
1988,SE,Sweden,CME,44248.2689,35628.2724,0.376,0.213,8436347
1988,AU,Australia,LME,41623.5932,39177.2865,0.4605,0.3845,16594099
1988,CA,Canada,LME,46092.7803,38721.2163,0.435,0.3445,26927945
1988,GB,United Kingdom,LME,38499.0673,33658.9566,0.4367,0.3247,57026546
1988,NZ,New Zealand,LME,32803.6978,29537.2366,0.4978,0.4433,3316026
1988,US,United States,LME,47979.4,47979.4,0.5145,0.4484,248393235
1989,AT,Austria,CME,47590.766,37239.6911,0.4157,0.3292,7620407
1989,BE,Belgium,CME,46107.1645,35746.6811,0.4526,0.3296,9936573
1989,CH,Switzerland,CME,70977.4296,77235.3748,0.4049,0.3083,6647788
1989,DE,Germany,CME,45876.5531,35300.8607,0.4355,0.3304,79007065
1989,DK,Denmark,CME,51528.4859,43284.1252,0.3793,0.1918,5132715
1989,FI,Finland,CME,44027.1618,36544.7136,0.3851,0.2718,4964526
1989,JP,Japan,CME,38467.4437,22351.5703,0.4965,0.4186,122947413
1989,NL,Netherlands,CME,46516.1365,38854.6495,0.3798,0.2711,14921111
1989,NO,Norway,CME,62195.8382,52717.606,0.3188,0.197,4226913
1989,SE,Sweden,CME,45120.9427,36330.9407,0.3698,0.2134,8492816
1989,AU,Australia,LME,42456.4394,39961.1846,0.4425,0.3655,16869362
1989,CA,Canada,LME,46405.7048,38984.0952,0.4441,0.3453,27366050
1989,GB,United Kingdom,LME,39384.0552,34432.6836,0.4354,0.3245,57182136
1989,NZ,New Zealand,LME,32911.862,29634.6303,0.5179,0.4079,3333826
1989,US,United States,LME,49288.7,49288.7,0.5111,0.4412,250675053
1990,AT,Austria,CME,49273.6454,38556.5413,0.4131,0.3261,7679624
1990,BE,Belgium,CME,47435.1538,36776.2654,0.4478,0.3202,9960968
1990,CH,Switzerland,CME,72865.6023,79290.0241,0.4048,0.3081,6713173
1990,DE,Germany,CME,47862.8881,36829.2958,0.4371,0.3384,79707959
1990,DK,Denmark,CME,52204.1424,43851.6792,0.3804,0.19,5141025
1990,FI,Finland,CME,44133.5992,36633.0618,0.37,0.2459,4986575
1990,JP,Japan,CME,40201.5853,23359.1961,0.4987,0.4246,123399765
1990,NL,Netherlands,CME,48108.0696,40184.3815,0.3791,0.2677,15030878
1990,NO,Norway,CME,63180.592,53552.29,0.3253,0.1932,4241440
1990,SE,Sweden,CME,45112.2292,36323.9247,0.3571,0.2082,8558567
1990,AU,Australia,LME,42450.1998,39955.3117,0.438,0.3596,17126298
1990,CA,Canada,LME,45774.0238,38453.4382,0.4498,0.3463,27789443
1990,GB,United Kingdom,LME,39544.5017,34572.9587,0.46,0.3622,57367862
1990,NZ,New Zealand,LME,32497.3566,29261.3997,0.5416,0.4521,3396979
1990,US,United States,LME,49683.5,49683.5,0.5126,0.4402,253373387
1991,AT,Austria,CME,50463.6101,39487.6865,0.4125,0.3226,7757140
1991,BE,Belgium,CME,48124.4178,37310.6487,0.4418,0.3127,9998961
1991,CH,Switzerland,CME,71313.4223,77600.9913,0.4021,0.3021,6796943
1991,DE,Germany,CME,49934.8818,38423.6432,0.4265,0.3229,80303196
1991,DK,Denmark,CME,52794.8727,44347.895,0.3773,0.186,5154345
1991,FI,Finland,CME,41315.0145,34293.4977,0.3597,0.2158,5013880
1991,JP,Japan,CME,41410.989,24061.9221,0.4873,0.4166,123889871
1991,NL,Netherlands,CME,48877.4974,40827.08,0.379,0.2642,15155090
1991,NO,Norway,CME,64820.8379,54942.5733,0.3244,0.1849,4261623
1991,SE,Sweden,CME,44293.0106,35664.2979,0.3643,0.2142,8616959
1991,AU,Australia,LME,41906.2192,39443.302,0.4497,0.368,17353193
1991,CA,Canada,LME,44233.8607,37159.5916,0.4571,0.3426,28157158
1991,GB,United Kingdom,LME,38981.1303,34080.4145,0.4659,0.3628,57555192
1991,NZ,New Zealand,LME,31378.0566,28253.5551,0.5318,0.4416,3480925
1991,US,United States,LME,49030.2,49030.2,0.5114,0.4339,256471422
1992,AT,Austria,CME,50962.1495,39877.7928,0.4116,0.3157,7842712
1992,BE,Belgium,CME,48636.312,37707.518,0.4402,0.3109,10045987
1992,CH,Switzerland,CME,70478.1356,76692.0589,0.4024,0.2976,6875051
1992,DE,Germany,CME,50497.9418,38856.9038,0.4205,0.3107,80934898
1992,DK,Denmark,CME,53650.9031,45066.9638,0.3795,0.1809,5171367
1992,FI,Finland,CME,39726.2142,32974.7152,0.3572,0.2062,5042148
1992,JP,Japan,CME,41596.4474,24169.683,0.453,0.3897,124383708
1992,NL,Netherlands,CME,49315.4814,41192.9254,0.3789,0.2677,15276785
1992,NO,Norway,CME,66752.0151,56579.452,0.328,0.193,4286261
1992,SE,Sweden,CME,43524.1938,35045.2542,0.3606,0.2062,8667574
1992,AU,Australia,LME,42369.2976,39879.1643,0.4445,0.3559,17549288
1992,CA,Canada,LME,44095.0249,37042.9596,0.4593,0.3417,28500059
1992,GB,United Kingdom,LME,39026.1248,34119.7523,0.4668,0.3611,57719272
1992,NZ,New Zealand,LME,31090.2057,27994.3672,0.5438,0.4499,3532244
1992,US,United States,LME,50144.4,50144.4,0.5236,0.4424,259606019
1993,AT,Austria,CME,50817.2795,39764.4322,0.4157,0.3161,7907495
1993,BE,Belgium,CME,47988.5866,37205.3394,0.4424,0.3101,10084931
1993,CH,Switzerland,CME,69758.3846,75908.8489,0.4028,0.2976,6938106
1993,DE,Germany,CME,49666.0472,38216.7817,0.4149,0.3058,81486773
1993,DK,Denmark,CME,53478.0862,44921.7969,0.3787,0.173,5188637
1993,FI,Finland,CME,39231.1448,32563.7832,0.3645,0.2199,5066590
1993,JP,Japan,CME,41229.8533,23956.6729,0.4585,0.3959,124839958
1993,NL,Netherlands,CME,49569.1729,41404.8324,0.3817,0.269,15389720
1993,NO,Norway,CME,68243.4978,57843.6426,0.3493,0.2098,4311862
1993,SE,Sweden,CME,42378.4433,34122.7071,0.3691,0.2074,8718036
1993,AU,Australia,LME,43637.853,41073.164,0.4511,0.3666,17722911
1993,CA,Canada,LME,44749.2504,37592.5556,0.4696,0.3458,28830637
1993,GB,United Kingdom,LME,39899.8278,34883.6132,0.4727,0.3661,57861037
1993,NZ,New Zealand,LME,32339.8175,29119.5477,0.55,0.4563,3573610
1993,US,United States,LME,50930.4,50930.4,0.5211,0.4345,262633231
1994,AT,Austria,CME,51835.3482,40561.0692,0.4149,0.3168,7938155
1994,BE,Belgium,CME,49383.3146,38286.6659,0.4458,0.3191,10116005
1994,CH,Switzerland,CME,70081.3131,76260.2494,0.4005,0.2918,6993587
1994,DE,Germany,CME,50675.5373,38993.5591,0.4113,0.3057,81773617
1994,DK,Denmark,CME,56139.7914,47157.6395,0.3847,0.1728,5206190
1994,FI,Finland,CME,40609.7863,33708.1236,0.3939,0.2359,5088458
1994,JP,Japan,CME,41490.7368,24108.2597,0.4622,0.4027,125286860
1994,NL,Netherlands,CME,50721.4512,42367.3235,0.3867,0.2847,15485449
1994,NO,Norway,CME,71286.6589,60423.0461,0.3655,0.2202,4336467
1994,SE,Sweden,CME,43732.131,35212.6832,0.3957,0.2319,8780190
1994,AU,Australia,LME,44916.1224,42276.3068,0.4553,0.3649,17897433
1994,CA,Canada,LME,46252.3327,38855.2517,0.4714,0.3496,29147381
1994,GB,United Kingdom,LME,41332.8513,36136.4766,0.4699,0.3655,58003203
1994,NZ,New Zealand,LME,33687.8404,30333.3399,0.5494,0.4501,3621030
1994,US,United States,LME,52415.2,52415.2,0.5201,0.434,265474810
1995,AT,Austria,CME,53135.7488,41578.6304,0.4159,0.3113,7950322
1995,BE,Belgium,CME,50454.0415,39116.7957,0.4444,0.3117,10137265
1995,CH,Switzerland,CME,69948.0183,76115.2023,0.3985,0.2922,7040477
1995,DE,Germany,CME,51303.6087,39476.8443,0.4084,0.298,82019890
1995,DK,Denmark,CME,57539.2395,48333.1812,0.3843,0.1774,5233360
1995,FI,Finland,CME,42167.2891,35000.9276,0.4048,0.2477,5107922
1995,JP,Japan,CME,42451.6197,24666.5822,0.4729,0.4125,125672665
1995,NL,Netherlands,CME,52034.5036,43464.1083,0.3866,0.2896,15565032
1995,NO,Norway,CME,73865.3278,62608.7431,0.3654,0.2227,4358993
1995,SE,Sweden,CME,45215.5695,36407.1333,0.4007,0.2484,8826302
1995,AU,Australia,LME,46147.382,43435.2027,0.4581,0.3553,18095344
1995,CA,Canada,LME,46995.6916,39479.7261,0.4791,0.3562,29459131
1995,GB,United Kingdom,LME,41521.0757,36301.0375,0.4758,0.3672,58154635
1995,NZ,New Zealand,LME,34769.0763,31306.9106,0.5484,0.4498,3674428
1995,US,United States,LME,53274.1,53274.1,0.5284,0.4405,268205795
1996,AT,Austria,CME,54312.6806,42499.5775,0.4169,0.31,7960914
1996,BE,Belgium,CME,51089.0284,39609.0982,0.4481,0.3076,10156969
1996,CH,Switzerland,CME,70058.1447,76235.0383,0.4129,0.3009,7071883
1996,DE,Germany,CME,51564.0727,39677.2649,0.4191,0.3098,82263189
1996,DK,Denmark,CME,58873.7592,49454.1829,0.3868,0.1795,5263068
1996,FI,Finland,CME,43626.1142,36211.8244,0.4074,0.2403,5124717
1996,JP,Japan,CME,43676.8317,25378.4937,0.4838,0.4242,125975302
1996,NL,Netherlands,CME,53596.7493,44769.0427,0.383,0.2859,15640027
1996,NO,Norway,CME,77187.2926,65424.4625,0.3829,0.2408,4381135
1996,SE,Sweden,CME,45856.8431,36923.4806,0.3943,0.237,8840327
1996,AU,Australia,LME,47385.8738,44600.9057,0.4562,0.3535,18305307
1996,CA,Canada,LME,47262.4826,39703.8495,0.484,0.3662,29767206
