year,voc,model_type,x_metric,y_metric,slope,intercept,r2,n,x1,y1,x2,y2
1980,CME,unweighted,gdp_pc_ppp,post_tax_gini,-1.7880104927326852e-6,0.36265959892829847,0.10355685776391556,10,26905.4385,0.3145523925787245,62149.8654,0.2515349874711744
1980,LME,unweighted,gdp_pc_ppp,post_tax_gini,-3.978646088581834e-6,0.5100324078300128,0.11046651920026002,5,29692.7401,0.3918955035718708,39978.2614,0.35097305448260063
1980,CME,unweighted,gdp_pc_ppp,pre_tax_gini,-9.02943451872049e-7,0.43384387119516366,0.08077745975252891,10,26905.4385,0.40954978168184253,62149.8654,0.3777260571975044
1980,LME,unweighted,gdp_pc_ppp,pre_tax_gini,-2.8988601141925076e-6,0.5444913963031756,0.11621992727425186,5,29692.7401,0.4584162963462011,39978.2614,0.4286000088959536
1980,CME,unweighted,gdp_pc_unadjusted,post_tax_gini,-9.925248486194515e-7,0.3231986706814078,0.06381266952008481,10,15633.4485,0.3076820845755453,67629.501,0.25607471043917374
1980,LME,unweighted,gdp_pc_unadjusted,post_tax_gini,-1.7840605674511086e-6,0.42755290411106417,0.027778711995472213,5,26413.3458,0.3804298954148338,39525.5,0.3570370181522754
1980,CME,unweighted,gdp_pc_unadjusted,pre_tax_gini,-5.818375417575726e-7,0.41670758914153183,0.06707458024155026,10,15633.4485,0.40761146189709824,67629.501,0.37735820652940055
1980,LME,unweighted,gdp_pc_unadjusted,pre_tax_gini,-1.3312862908808032e-6,0.48540307144585687,0.030655038562778437,5,26413.3458,0.4502393462860228,39525.5,0.43278331515564766
1980,CME,weighted,gdp_pc_ppp,post_tax_gini,-5.751946892705935e-6,0.5374778736714868,0.6459527528788119,10,26905.4385,0.38271922029452116,62149.8654,0.17999514850186465
1980,LME,weighted,gdp_pc_ppp,post_tax_gini,5.0969494717983445e-6,0.1674264250217957,0.5002613026515493,5,29692.7401,0.3187688209907362,39978.2614,0.3711936033479418
1980,CME,weighted,gdp_pc_ppp,pre_tax_gini,-3.167492400327378e-6,0.5313549146273039,0.6122626462058753,10,26905.4385,0.44613214265107826,62149.8654,0.3344956882914344
1980,LME,weighted,gdp_pc_ppp,pre_tax_gini,3.9469241289212234e-6,0.293774431594526,0.5072929543168667,5,29692.7401,0.41096942394900277,39978.2614,0.45156559614650593
1980,CME,weighted,gdp_pc_unadjusted,post_tax_gini,-4.111702105609966e-6,0.44298506148706407,0.5859430417398258,10,15633.4485,0.3787049783716691,67629.501,0.1649126998240128
1980,LME,weighted,gdp_pc_unadjusted,post_tax_gini,4.13199588609601e-6,0.2089915673874055,0.6463671208238315,5,26413.3458,0.3181314035710368,39525.5,0.37231077078329333
1980,CME,weighted,gdp_pc_unadjusted,pre_tax_gini,-2.2916440294587613e-6,0.47999971789189605,0.5689079660342113,10,15633.4485,0.44417341897702,67629.501,0.3250169757099707
1980,LME,weighted,gdp_pc_unadjusted,pre_tax_gini,3.3073897975969634e-6,0.3220341355800719,0.7003179885013333,5,26413.3458,0.40939336599939247,39525.5,0.45276037102499067
1981,CME,unweighted,gdp_pc_ppp,post_tax_gini,-1.5242328212621803e-6,0.3477436900644251,0.07430408483824423,10,27888.3035,0.3052354225404042,62802.969,0.2520173434419139
1981,LME,unweighted,gdp_pc_ppp,post_tax_gini,-2.464074604337337e-6,0.4573912738496028,0.03966790638959289,5,29961.5464,0.3835637882586881,40849.0533,0.3567361590018505
1981,CME,unweighted,gdp_pc_ppp,pre_tax_gini,-7.317557119405327e-7,0.42420330962381275,0.055354190207555096,10,27888.3035,0.4037958842413566,62802.969,0.37824687833123855
1981,LME,unweighted,gdp_pc_ppp,pre_tax_gini,-2.3582941274392043e-6,0.5262373229894444,0.0762135232920034,5,29961.5464,0.45557918406532716,40849.0533,0.4299032404806033
1981,CME,unweighted,gdp_pc_unadjusted,post_tax_gini,-8.265137657077988e-7,0.31328539625043106,0.04412672668853686,10,16204.5438,0.29989211773271607,68340.1875,0.256801290530629
1981,LME,unweighted,gdp_pc_unadjusted,post_tax_gini,-1.6229716426380645e-7,0.374766609404996,2.1143337156301158e-4,5,26194.7746,0.37051527176888643,40119.6,0.3682553120935978
1981,CME,unweighted,gdp_pc_unadjusted,pre_tax_gini,-4.7399516970617437e-7,0.41034365069466217,0.046909148565425336,10,16204.5438,0.40266277520617005,68340.1875,0.3779507319228479
1981,LME,unweighted,gdp_pc_unadjusted,pre_tax_gini,-6.086163171632083e-7,0.46192484882557244,0.006236535247474477,5,26194.7746,0.44598228157960007,40119.6,0.4375074056275114
1981,CME,weighted,gdp_pc_ppp,post_tax_gini,-5.615728414522816e-6,0.5317336360756936,0.5928193479104693,10,27888.3035,0.37512049767790745,62802.969,0.17904921854599803
1981,LME,weighted,gdp_pc_ppp,post_tax_gini,6.441985717566265e-6,0.11990520634714116,0.5614342921046864,5,29961.5464,0.3129170603321401,40849.0533,0.3830542242818443
1981,CME,weighted,gdp_pc_ppp,pre_tax_gini,-3.0315283133713517e-6,0.5242546168487195,0.5615493928780253,10,27888.3035,0.43971043517657615,62802.969,0.3338656381614363
1981,LME,weighted,gdp_pc_ppp,pre_tax_gini,4.114236398552929e-6,0.2893466076404868,0.4666236415659584,5,29961.5464,0.4126154923962993,40849.0533,0.4574092695737755
1981,CME,weighted,gdp_pc_unadjusted,post_tax_gini,-3.926671095139385e-6,0.43574185561981743,0.5472637446849915,10,16204.5438,0.3721119418704373,68340.1875,0.16739241672716154
1981,LME,weighted,gdp_pc_unadjusted,post_tax_gini,5.4839601210200366e-6,0.16339624452830043,0.7537770689145561,5,26194.7746,0.30704734381380905,40119.6,0.3834105309995759
1981,CME,weighted,gdp_pc_unadjusted,pre_tax_gini,-2.144795429459879e-6,0.4730648404145187,0.5307303283641285,10,16204.5438,0.4383094089357963,68340.1875,0.32648911861608754
1981,LME,weighted,gdp_pc_unadjusted,pre_tax_gini,3.7319521312967323e-6,0.30863994783132903,0.711304094552762,5,26194.7746,0.4063975927286365,40119.6,0.4583643745581014
1982,CME,unweighted,gdp_pc_ppp,post_tax_gini,-1.7606209418890326e-6,0.3580814653678594,0.09310241438389574,10,28693.5513,0.3075629980519121,61626.9947,0.24957968791335497
1982,LME,unweighted,gdp_pc_ppp,post_tax_gini,-2.500431809853374e-6,0.4614384470598729,0.02415654505553713,5,30565.7166,0.3850109569822696,39082.8359,0.3637144809562335
1982,CME,unweighted,gdp_pc_ppp,pre_tax_gini,-8.253591626483942e-7,0.4285785274118407,0.07422615007361842,10,28693.5513,0.404896041937464,61626.9947,0.37771412266971166
